State Code,Level,Name,TRU,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
30,STATE,GOA,Urban,215403,906814,463704,443110,90597,46688,43909,15988,61636,734216,388680,345536,172598,75024,97574,361712,266550,95162,311534,234925,76609,3516,2513,1003,2734,1828,906,6496,4687,1809,298788,225897,72891,50178,31625,18553,41889,26183,15706,8289,5442,2847,545102,197154,347948
31,STATE,LAKSHADWEEP,Total,11574,64473,33123,31350,7255,3797,3458,0,61120,52553,28023,24530,11920,5100,6820,18753,15318,3435,10804,9137,1667,0,0,0,0,0,0,97,66,31,10707,9071,1636,7949,6181,1768,5362,4265,1097,2587,1916,671,45720,17805,27915
31,STATE,LAKSHADWEEP,Rural,2710,14141,7243,6898,1815,950,865,0,13463,11288,5949,5339,2853,1294,1559,4653,3787,866,2225,1878,347,0,0,0,0,0,0,20,9,11,2205,1869,336,2428,1909,519,1921,1543,378,507,366,141,9488,3456,6032
31,STATE,LAKSHADWEEP,Urban,8864,50332,25880,24452,5440,2847,2593,0,47657,41265,22074,19191,9067,3806,5261,14100,11531,2569,8579,7259,1320,0,0,0,0,0,0,77,57,20,8502,7202,1300,5521,4272,1249,3441,2722,719,2080,1550,530,36232,14349,21883
32,STATE,KERALA,Total,7853754,33406061,16027412,17378649,3472955,1768244,1704711,3039573,484839,28135824,13704903,14430921,5270237,2322509,2947728,11619063,8451569,3167494,9329747,7179828,2149919,544932,465546,79386,919136,629092,290044,198281,132111,66170,7667398,5953079,1714319,2289316,1271741,1017575,1828203,1061697,766506,461113,210044,251069,21786998,7575843,14211155
32,STATE,KERALA,Rural,4149641,17471135,8408054,9063081,1823664,927888,895776,1818281,433092,14549320,7132430,7416890,2921815,1275624,1646191,6341957,4507501,1834456,4930191,3743078,1187113,481651,410532,71119,760632,510300,250332,104642,68889,35753,3583266,2753357,829909,1411766,764423,647343,1117029,635147,481882,294737,129276,165461,11129178,3900553,7228625
32,STATE,KERALA,Urban,3704113,15934926,7619358,8315568,1649291,840356,808935,1221292,51747,13586504,6572473,7014031,2348422,1046885,1301537,5277106,3944068,1333038,4399556,3436750,962806,63281,55014,8267,158504,118792,39712,93639,63222,30417,4084132,3199722,884410,877550,507318,370232,711174,426550,284624,166376,80768,85608,10657820,3675290,6982530
33,STATE,TAMIL NADU,Total,18524982,72147030,36137975,36009055,7423832,3820276,3603556,14438445,794697,51837507,28040491,23797016,20309523,8097484,12212039,32884681,21434978,11449703,27942181,18961194,8980987,3855375,2512165,1343210,7234101,3808523,3425578,1119458,514637,604821,15733247,12125869,3607378,4942500,2473784,2468716,4219345,2137221,2082124,723155,336563,386592,39262349,14702997,24559352
33,STATE,TAMIL NADU,Rural,9528495,37229590,18679065,18550525,3911302,2020550,1890752,9475475,660280,24502195,13665839,10836356,12727395,5013226,7714169,18861330,11214535,7646795,15339116,9552474,5786642,3526374,2276871,1249503,6252943,3240547,3012396,555619,242723,312896,5004180,3792333,1211847,3522214,1662061,1860153,3010774,1444865,1565909,511440,217196,294244,18368260,7464530,10903730
33,STATE,TAMIL NADU,Urban,8996487,34917440,17458910,17458530,3512530,1799726,1712804,4962970,134417,27335312,14374652,12960660,7582128,3084258,4497870,14023351,10220443,3802908,12603065,9408720,3194345,329001,235294,93707,981158,567976,413182,563839,271914,291925,10729067,8333536,2395531,1420286,811723,608563,1208571,692356,516215,211715,119367,92348,20894089,7238467,13655622
34,STATE,PUDUCHERRY,Total,302450,1247953,612511,635442,132858,67527,65331,196325,0,957309,497378,459931,290644,115133,175511,444968,332931,112037,399689,306409,93280,10763,9187,1576,50607,33410,17197,6373,3520,2853,331946,260292,71654,45279,26522,18757,35827,21411,14416,9452,5111,4341,802985,279580,523405
34,STATE,PUDUCHERRY,Rural,95018,395200,194907,200293,44514,22798,21716,110425,0,280882,150490,130392,114318,44417,69901,147876,105705,42171,122188,91068,31120,8014,6760,1254,42434,27078,15356,2030,1133,897,69710,56097,13613,25688,14637,11051,19966,11706,8260,5722,2931,2791,247324,89202,158122
34,STATE,PUDUCHERRY,Urban,207432,852753,417604,435149,88344,44729,43615,85900,0,676427,346888,329539,176326,70716,105610,297092,227226,69866,277501,215341,62160,2749,2427,322,8173,6332,1841,4343,2387,1956,262236,204195,58041,19591,11885,7706,15861,9705,6156,3730,2180,1550,555661,190378,365283
35,STATE,ANDAMAN & NICOBAR ISLANDS,Total,94551,380581,202871,177710,40878,20770,20108,0,28530,294281,164377,129904,86300,38494,47806,152535,120889,31646,125910,103619,22291,12997,10816,2181,2680,2340,340,1390,969,421,108843,89494,19349,26625,17270,9355,21099,13856,7243,5526,3414,2112,228046,81982,146064
35,STATE,ANDAMAN & NICOBAR ISLANDS,Rural,58530,237093,126287,110806,26415,13370,13045,0,26715,178025,99960,78065,59068,26327,32741,94469,74670,19799,72366,60411,11955,12706,10564,2142,2562,2241,321,1017,717,300,56081,46889,9192,22103,14259,7844,17196,11280,5916,4907,2979,1928,142624,51617,91007
35,STATE,ANDAMAN & NICOBAR ISLANDS,Urban,36021,143488,76584,66904,14463,7400,7063,0,1815,116256,64417,51839,27232,12167,15065,58066,46219,11847,53544,43208,10336,291,252,39,118,99,19,373,252,121,52762,42605,10157,4522,3011,1511,3903,2576,1327,619,435,184,85422,30365,55057
